time,H_VV_out_alpha,H_VV_out_beta
329.0,-2.9089986794964115e+19,-2.9089986794964115e+19
330.0,-2.9178406207714767e+19,-2.9178406207714767e+19
331.0,-2.9266825620465414e+19,-2.9266825620465414e+19
332.0,-2.9355245033216066e+19,-2.9355245033216066e+19
333.0,-2.9443664445966717e+19,-2.9443664445966717e+19
334.0,-2.953208385871737e+19,-2.953208385871737e+19
335.0,-2.962050327146802e+19,-2.962050327146802e+19
336.0,-2.970892268421867e+19,-2.970892268421867e+19
337.0,-2.9797342096969322e+19,-2.9797342096969322e+19
338.0,-2.988576150971997e+19,-2.988576150971997e+19
339.0,-2.997418092247062e+19,-2.997418092247062e+19
340.0,-3.0062600335221273e+19,-3.0062600335221273e+19
341.0,-3.0151019747971924e+19,-3.0151019747971924e+19
342.0,-3.0239439160722575e+19,-3.0239439160722575e+19
343.0,-3.0327858573473227e+19,-3.0327858573473227e+19
344.0,-3.041627798622388e+19,-3.041627798622388e+19
345.0,-3.0504697398974525e+19,-3.0504697398974525e+19
346.0,-3.0593116811725177e+19,-3.0593116811725177e+19
347.0,-3.068153622447583e+19,-3.068153622447583e+19
348.0,-3.076995563722648e+19,-3.076995563722648e+19
349.0,-3.085837504997713e+19,-3.085837504997713e+19
350.0,-3.0946794462727782e+19,-3.0946794462727782e+19
351.0,-3.1035213875478434e+19,-3.1035213875478434e+19
352.0,-3.112363328822908e+19,-3.112363328822908e+19
353.0,-3.1212052700979732e+19,-3.1212052700979732e+19
354.0,-3.1300472113730384e+19,-3.1300472113730384e+19
355.0,-3.1388891526481035e+19,-3.1388891526481035e+19
356.0,-3.1477310939231687e+19,-3.1477310939231687e+19
357.0,-3.156573035198234e+19,-3.156573035198234e+19
358.0,-3.1654149764732985e+19,-3.1654149764732985e+19
359.0,-3.1742569177483637e+19,-3.1742569177483637e+19
360.0,-3.183098859023429e+19,-3.183098859023429e+19
361.0,-3.191940800298494e+19,-3.191940800298494e+19
362.0,-3.200782741573559e+19,-3.200782741573559e+19
363.0,-3.2096246828486242e+19,-3.2096246828486242e+19
364.0,-3.2184666241236894e+19,-3.2184666241236894e+19
