environment | time (second),inlet | u_mmHg (dimensionless),inlet | v_mm3_s (mm3_per_s),PV1 | u_mmHg (dimensionless),PV1 | v_mm3_s (mm3_per_s),PV2 | u_mmHg (dimensionless),PV2 | v_mm3_s (mm3_per_s),V1 | u_mmHg (dimensionless),V1 | v_mm3_s (mm3_per_s),V2 | u_mmHg (dimensionless),V2 | v_mm3_s (mm3_per_s),VV_junc1 | H_VV_out_alpha (dimensionless),VV_junc1 | H_VV_out_beta (dimensionless),VV_junc1 | u_mmHg (dimensionless),VV_junc1 | v_mm3_s (mm3_per_s)
558,49.9540275790295,5.08015151180109e-06,49.809975562414,1.5992031727287e-11,49.8676521585854,5.08013552039472e-06,49.7500003419799,1.59920318744904e-11,49.865353534323,5.08013551976429e-06,0.450001422241731,0.630614168913788,49.9080551580591,5.08015151179916e-06
559,49.9540275789378,5.08015151592367e-06,49.8099755623085,1.59920316982243e-11,49.8676521583986,5.08013552308947e-06,49.7500003419798,1.59920315153046e-11,49.8653535341617,5.08013552389977e-06,0.450001408500255,0.630614149657026,49.9080551578756,5.08015151593008e-06
560,49.9540275789576,5.08015151905408e-06,49.8099755623138,1.59920317011429e-11,49.8676521583752,5.08013552800572e-06,49.7500003419796,1.59920317942202e-11,49.8653535341016,5.08013552701303e-06,0.450001425817662,0.630614173924955,49.9080551579152,5.08015151904783e-06
561,49.9540275788595,5.08015152140202e-06,49.80997556221,1.59920316717437e-11,49.8676521582067,5.08013552812438e-06,49.7500003419795,1.5992031754213e-11,49.8653535339751,5.080135529382e-06,0.450001404313967,0.630614143790528,49.9080551577189,5.0801515214107e-06
562,49.9540275789252,5.08015152317371e-06,49.8099755622649,1.59920316887213e-11,49.8676521582654,5.08013553270567e-06,49.7500003419793,1.59920313952828e-11,49.8653535339783,5.08013553112744e-06,0.450001431284327,0.630614181585723,49.9080551578505,5.08015152316148e-06
563,49.9540275787993,5.08015152447591e-06,49.8099755621391,1.59920316523989e-11,49.8676521580758,5.08013553049592e-06,49.7500003419791,1.59920316744548e-11,49.8653535338558,5.08013553246138e-06,0.450001397685613,0.630614134501816,49.9080551575984,5.08015152448934e-06
564,49.9540275789229,5.08015152545351e-06,49.8099755622525,1.59920316862477e-11,49.8676521582238,5.08013553585219e-06,49.750000341979,1.59920316347037e-11,49.8653535339182,5.08013553340062e-06,0.450001439733413,0.630614193425937,49.9080551578459,5.08015152543794e-06
565,49.9540275787425,5.08015152614655e-06,49.8099755620775,1.59920316352207e-11,49.8676521579714,5.08013553109419e-06,49.7500003419788,1.59920319140467e-11,49.8653535337713,5.08013553414138e-06,0.45000138727419,0.63061411991166,49.9080551574849,5.08015152616736e-06
566,49.9540275789479,5.0801515266723e-06,49.8099755622708,1.59920316923489e-11,49.8676521582354,5.08013553844798e-06,49.7500003419787,1.59920318744664e-11,49.8653535339026,5.0801355346064e-06,0.450001452858936,0.630614211819525,49.9080551578961,5.08015152664575e-06
567,49.9540275786762,5.08015152700893e-06,49.8099755620102,1.59920316160233e-11,49.867652157867,5.08013553026985e-06,49.7500003419785,1.59920318349714e-11,49.8653535336991,5.08013553502007e-06,0.45000137098104,0.630614097079085,49.9080551573522,5.08015152704138e-06
